,summary,date
141,"""Jurassic World: Dominion"" may score to top spot at the domestic box office this weekend, but lackluster critical reviews and word of mouth could stall its potential haul.",2022-06-09
142,DXC Technology (DXC) signs a contract with the Paris-headquartered European Space Agency to scale network and security services for better connectivity and collaboration among the agency's workforce.,2022-06-09
143,"Universal's ""Jurassic World: Dominion"" enters domestic theaters Friday, and it will snag the majority of premium format screens from ""Top Gun: Maverick.""",2022-06-09
144,"DXC Technology (NYSE: DXC) has been awarded a multi-year contract to deliver network and security services to provide the European Space Agency (ESA)'s international workforce of scientists, engineers and IT specialists with scalable and secure network services enabling them to collaborate seamlessly from anywhere on their space activities.",2022-06-08
145,DXC Technology has been a... DXC,2022-06-08
146,"DXC Technology (NYSE: DXC), a leading Fortune 500 global technology services provider, has been named a Leader in the IDC MarketScape Worldwide Cloud Professional Services 2022 Vendor Assessment. The report recognizes DXC's distinct Cloud Right™ approach to guiding large enterprises through cloud and IT modernization efforts.",2022-06-07
147,Glenview Capital Management’s 13F portfolio value increased from $4.69B to $4.94B this quarter. The number of positions increased from 57 to 60.,2022-06-07
148,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-06-06
149,DXC Technology (DXC) to enhance and modernize DIRECTV's IT infrastructure to facilitate the distributor's accelerated digital transformation process.,2022-06-06
150,"DXC Technology (NYSE: DXC), a leading Fortune 500 global technology services company, will participate in the Baird Global Consumer, Technology, and Service Conference on Monday, June 6, 2022. John Sweeney, Vice President of Investor Relations, is scheduled to present at 10:15 AM EDT.",2022-06-03
151,"How are your mutual funds doing this year? Look under the hood of Towle Deep Value Fund. It's not only outperforming the broad market, but it is up.",2022-06-03
152,"DXC Technology (NYSE: DXC), a leading Fortune 500 global technology services provider, has been awarded a multiyear contract to enhance and modernize mission-critical IT systems for DIRECTV, America's leading video entertainment provider. DXC will deliver IT outsourcing services to enhance program management and modernize DIRECTV's infrastructure, enabling the delivery of new and innovative entertainment experiences to its customers.",2022-06-02
153,DXC Technology has been a... DXC,2022-06-02
154,"The S&P 500 logged in its best week of the year, jumping 6.5% and wiping out its losses in May.",2022-05-31
155,"DXC Technology to Participate in Cowen Technology Conference.DXC Technology , a leading Fortune 500 global technology services company, will participate in the Cowen Technology Conference on June 2,... | May 30, 2022",2022-05-30
156,Netflix's fall from grace has ended the first act of the streaming wars. Act two will determine whether the industry can right itself.,2022-05-29
157,"DXC Technology (NYSE: DXC) a leading Fortune 500 global technology services company, will participate in the Cowen Technology Conference on June 2, 2022. Ken Sharp, Chief Financial Officer, is scheduled to participate in a fireside chat at 9:40 AM ET.",2022-05-27
158,"Shares of DXC Technology Co. rallied 2.69% to $35.08 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",2022-05-27
159,"Shares of DXC Technology  have soared sharply higher in recent days.  In the daily bar chart of DXC, below, we can see that the shares have shot dramatically higher this month crossing above the 50-day moving average line and the 200-day moving average line.  The daily On-Balance-Volume (OBV) line shows a fresh rise from early March signaling a turn towards more aggressive buying by traders.",2022-05-27
160,"DXC Technology , Lloyd's and the International Underwriting Association , have announced a $465 million USD contract extension to ensure seamless continuity for the activities of London insurance... | May 27, 2022",2022-05-27
161,"In this article, we will take a look at the 11 stocks drawing attention on quarterly results. You can skip our detailed analysis of these companies and go directly to the 5 Stocks Drawing Attention on Quarterly Results. Notable tech stocks, including NVIDIA Corporation (NASDAQ:NVDA), Snowflake Inc. (NYSE:SNOW), Splunk Inc. (NASDAQ:SPLK) and Nutanix, Inc. (NASDAQ:NTNX), […]",2022-05-26
162,Investors are looking past a lackluster quarter to focus on the company's bigger-picture overhaul.,2022-05-26
163,"Shares of DXC Technology Co. jumped 15.99% to $34.16 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P...",2022-05-26
164,"Analysts cut their price targets on DXC Technology Co (NYSE: DXC) post Q4 earnings miss. RBC Capital analyst Daniel Perlin reiterated DXC with an Outperform and lowered the price target from $47 to $39 (17.9% upside). While Q4/22 results were lower than expected and FY23 guidance is light, Perlin believes DXC is generally progressing toward a more digitally focused, consistent and transparent operator. The Outperform rating is based on: 1) management achieving its financial targets as it execute",2022-05-26
165,"DXC Technology's (DXC) Q4 earnings benefit from margin expansion, lower interest expenses and outstanding common stocks, which more than offset the negative impact of reduced revenues.",2022-05-26
166,"DXC Technology , Lloyd's and the International Underwriting Association , have announced a $465 million USD contract extension to ensure seamless continuity for the activities of London insurance... | May 26, 2022",2022-05-26
167,"DXC Technology, Lloyd... DXC",2022-05-26
168,"Notable gainers among liq... DLTR, DG, DXC, CZR, NCLH",2022-05-26
169,RBC Capital analyst Danie... DXC,2022-05-26
170,Cowen analyst Bryan Bergi... DXC,2022-05-26
171,"IntroductionThe purpose of the MD&A is to present information that management believes isrelevant to an assessment and understanding of our results of operations andcash flows for the fiscal... | May 26, 2022",2022-05-26
172,Deutsche Bank analyst Bry... DXC,2022-05-26
173,Susquehanna analyst James... DXC,2022-05-26
174,"Ladies and gentlemen, thank you for standing by, and welcome to the DXC Technology's fourth-quarter fiscal year 2022 earnings call.  John Sweeney, vice president of investor relations, you may begin your conference.",2022-05-26
175,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 1.61%,2022-05-26
176,"In trading on Thursday, shares of DXC Technology Co (DXC) crossed above their 200 day moving average of $32.90, changing hands as high as $34.27 per share - DXC Technology Co shares are currently trading up about 16.1% on the day. - DXC.",2022-05-26
177,"DXC Technology Reports Fourth Quarter Fiscal Year 2022 Results •Revenues of $4.01 billion for Q4 FY22, down 8.6% as compared to prior year period, and down... | May 26, 2022",2022-05-26
178,"DXC Technology Company. (DXC) delivered earnings and revenue surprises of -16% and 2.96%, respectively, for the quarter ended March 2022. Do the numbers hold clues to what lies ahead for the stock?",2022-05-25
179,DXC Technology (NYSE: DXC) today reported results for the fourth quarter and full fiscal year 2022.,2022-05-25
180,"Shares of DXC Technology Co. inched 0.03% higher to $29.45 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with...",2022-05-25
181,"Item 2.02 Results of Operations and Financial Condition.On May 25, 2022, DXC Technology Company issued a press releasereporting its financial results for the fourth quarter of fiscal 2022... | May 25, 2022",2022-05-25
182,"Notable companies reporti... NVDA, SNOW, SPLK, WSM, DXC, NTNX, BOX",2022-05-25
183,Sees FY23 revenue $14.9B-... DXC,2022-05-25
184,Sees Q1 revenue $3.7B-$3.... DXC,2022-05-25
185,Reports Q4 revenue $4.01B... DXC,2022-05-25
186,"Shares of DXC Technology Co. slipped 2.06% to $29.44 Tuesday, on what proved to be an all-around mixed trading session for the stock market, with the Dow...",2022-05-24
187,"Former White House press secretary Jen Psaki will join MSNBC this fall in time for the 2022 midterm elections, NBCUniversal confirmed.",2022-05-24
