,summary,date
138,A string of solid theatrical performances coupled with a strong slate of upcoming films has left most box office analysts optimistic.,2022-06-29
139,Dividends are payouts from companies that share their profits with their investors. They offer a regular source of income that can increase over time. This makes th...,2022-06-29
140,"Pembina Pipeline (PBA) (TSE: PPL) provides transportation and midstream services. It operates through the following segment: Pipelines, Facilities, Marketing and Ne...",2022-06-28
141,"Rhode Island Energy announced today that its parent company, PPL Corporation , has contributed $2.5 million to support the Rhode Island Commerce Corporation's Renewable Energy Fund . This donation... | June 27, 2022",2022-06-27
142,"Shares of PPL Corp. rallied 1.77% to $27.08 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",2022-06-24
143,"Summer is officially here, and with it comes hotter temperatures. And while summer means getting out and enjoying some fun in the sun, it also means using more electricity to cool both you and your... | June 24, 2022",2022-06-24
144,"Rhode Island Energy announced today that its parent company, PPL Corporation , has contributed $2.5 million to support the Rhode Island Commerce Corporation's Renewable Energy Fund . This... | June 24, 2022",2022-06-24
145,"Shares of PPL Corp. rose 1.68% to $26.61 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",2022-06-23
146,"LOUISVILLE - Louisville Gas and Electric Company and Kentucky Utilities Company today issued a request for proposals for generation to serve the utilities' more than 1.3 million customers across... | June 23, 2022",2022-06-23
147,"Shares of PPL Corp. rallied 1.24% to $26.17 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",2022-06-22
148,"- Louisville Gas and Electric Company and Kentucky Utilities Company today issued a request for proposals for generation to serve the utilities' more than 1.3 million customers across Kentucky and a... | June 22, 2022",2022-06-22
149,"Shares of PPL Corp. advanced 1.93% to $25.85 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",2022-06-21
150,"In this article, we will look at 10 low-price blue-chip stocks to buy now. If you want to explore similar stocks, you can also take a look at 5 Low-Priced Blue Chip Stocks to Buy Now. We are halfway into 2022, and what at first was a stock market recovering from pandemic-related aftershocks, is now […]",2022-06-20
151,"Pixar's ""Lightyear"" rocketed to a $51 million domestic opening, the best performance of an animated feature since the pandemic began.",2022-06-19
152,Utilities industries are overvalued relative to 11-year averages. Click here for a top-down analysis of sector ETFs XLU and RYU.,2022-06-17
153,"Staff article entitled PPL August 19th Options Begin Trading, about stock options, from Stock Options Channel.",2022-06-16
154,"In a report released today, Shelby Tuc...",2022-06-16
155,Credit Suisse analyst Nicholas C...,2022-06-16
156,"Netflix disrupted traditional TV by releasing entire seasons of shows all at once. Now, the model is under scrutiny as the streamer deals with big losses.",2022-06-15
157,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-06-14
158,PPL modifies its investment and growth plans to offer top-tier profitability and a clean energy future while keeping rates low. It also increases dividends by 12.5% to reward shareholders.,2022-06-13
159,"energy stock channel,PPL,",2022-06-13
160,"""Jurassic World: Dominion"" roared to the top of the domestic box office over the weekend, generating more than $143 million in ticket sales during its debut.",2022-06-12
161,"energy stock channel,PPL,",2022-06-10
162,"""Jurassic World: Dominion"" may score to top spot at the domestic box office this weekend, but lackluster critical reviews and word of mouth could stall its potential haul.",2022-06-09
163,"Universal's ""Jurassic World: Dominion"" enters domestic theaters Friday, and it will snag the majority of premium format screens from ""Top Gun: Maverick.""",2022-06-09
164,"PPL Corp. said Thursday it's raising its quarterly dividend to 22.50 cents a share from 20 cents a share previously, in a statement released ahead of a virtual investor day. The new dividend is payable July 1 to shareholders of record as of June 21. Shares were down 0.2% premarket but are up 0.5% in the year to date, while the S&P 500 has fallen 13.7%.",2022-06-09
165,PPL Corporation (NYSE:PPL) today will host a virtual Investor Day during which management will provide an update on the company's strategy to deliver top-tier growth and a clean energy future.,2022-06-09
166,PPL Corporation updated i... PPL,2022-06-09
167,PPL management outlines f... PPL,2022-06-09
168,"Looking at the sectors faring worst as of midday Thursday, shares of Utilities companies are underperforming other sectors, showing a 0.9% loss - Within that group, PPL Corp (PPL) and Edison International (EIX) are two large stocks that are lagging, showing a loss of 2.4% and 2.1%, respectively. - PPL,EIX,XLU,MRNA,VRTX.",2022-06-09
169,"Moody's Investors Service on Monday upgraded the investment-grade credit ratings of PPL Corporation (NYSE: PPL) and PPL Capital Funding, Inc., following PPL's recent acquisition of The Narragansett Electric Company, which is now doing business as Rhode Island Energy.",2022-06-07
170,Wells Fargo analyst Neil ... PPL,2022-06-07
171,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-06-06
172,Most readers would already be aware that PPL's (NYSE:PPL) stock increased significantly by 14% over the past three...,2022-06-06
173,"PPL Corporation (NYSE: PPL) today announced it has joined Climate READi, a three-year initiative launched by the Electric Power Research Institute (EPRI) to address energy system climate resilience and adaptation as extreme weather events continue to increase.",2022-06-01
174,Goldman Sachs analyst Mic... PPL,2022-05-30
175,Netflix's fall from grace has ended the first act of the streaming wars. Act two will determine whether the industry can right itself.,2022-05-29
176,"Shares of PPL Corp. inched 0.40% higher to $30.36 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",2022-05-27
177,"Ownership Submission FORM 4 Check this box if no longer... | May 26, 2022",2022-05-26
